RR1,RR2,RR3
700006614,700002981,700004387
700005807,700005542,710003435
710004822,700002545,700005717
710001802,700002954,700004351
700005856,710000415,710002321
700005755,700002372,710002613
700005921,700004026,700004934
710007926,,700004570
710001241,,
710002316,,
700006859,,
