Course Name,M,H,D,I,F,V,E,G,J,IIA,IIB,IIC,C,VII,K,VI,IV,Z,IB
Inquiry and Tools,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Inquiry and Tools II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Inquiry and Tools V2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Inquiry and Tools V2 II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Intermediate Algebra and Geometry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Intermediate Algebra and Geometry V2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Intermediate French,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Intermediate Spanish,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Intermediate Spanish V2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Intro to Physics and Chemistry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Latin American Literature,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
MS English and Social Studies TBA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
MS English and Social Studies TBA II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MS Health,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
MS Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MS Science V2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MS/HS PE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
MS/HS PE V2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
MS/HS PE V3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
Music Design,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
"Music, Myth, and Ritual",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Musicals and History,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mythology,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Neuro Science Psych,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
